City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
445,Bonthe,SL,76.19,moderate rain,7.5264,-12.505,Bonthe Holiday Village
450,Salalah,OM,77.09,mist,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
452,Kathu,TH,85.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
454,Itoman,JP,88.18,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
462,Hengshui,CN,84.49,clear sky,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
469,Quepos,CR,81.7,light rain,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
474,Buala,SB,79.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
476,Nikolayevka,RU,76.39,scattered clouds,53.1257,47.2041,"Hotel ""Prestige"""
479,Mount Isa,AU,89.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
480,Darnah,LY,81.79,clear sky,32.767,22.6367,فندق الفردوس
482,Gubbi,IN,76.68,broken clouds,13.3106,76.9444,Ap chicken center
490,Korla,CN,82.0,broken clouds,41.7597,86.1469,Gulisitan Hotel
494,Nagato,JP,83.19,overcast clouds,34.3833,131.2,いそう庵
496,Ahome,MX,86.09,broken clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
497,Nyurba,RU,84.34,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
500,Oussouye,SN,77.76,moderate rain,12.485,-16.5469,Auberge du Routard
503,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
508,Linqiong,CN,88.48,clear sky,30.4159,103.4609,Tianlun Tanxianglou Hotel
512,Tura,IN,79.97,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
513,Buraydah,SA,88.11,clear sky,26.326,43.975,فندق راحة السلام
514,Bosaso,SO,89.11,broken clouds,11.2842,49.1816,Red Sea Hotel
522,Edgewater,US,79.38,broken clouds,28.9889,-80.9023,Islander Beach Resort
527,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
530,Acapulco,MX,80.76,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
534,Nishihara,JP,87.46,scattered clouds,26.1842,127.7558,Minshuku Agaihama
536,Atambua,ID,85.6,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
539,Guane,CU,78.62,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
540,Hobyo,SO,77.25,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
547,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
552,Ixtapa,MX,77.31,broken clouds,20.7,-105.2,Hotel Plaza Providencia
556,Turochak,RU,76.62,broken clouds,52.2576,87.1224,"Usad'ba ""Lebed'"""
557,Kutoarjo,ID,85.89,scattered clouds,-7.7169,109.9128,Massagus Hotel
559,Athabasca,CA,77.18,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
560,Haines Junction,CA,75.72,broken clouds,60.7522,-137.5108,Parkside Inn
564,Monywa,MM,81.9,moderate rain,22.1167,95.1333,Monywa Hotel
565,Salinopolis,BR,76.87,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
