City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Tuatapere,NZ,-46.1333,167.6833,44.82,95,100,5.3,overcast clouds
277,Zhangye,CN,38.9342,100.4517,67.26,56,100,15.03,overcast clouds
278,Lorengau,PG,-2.0226,147.2712,85.55,70,52,9.98,broken clouds
279,Banska Bystrica,SK,48.5,19.5,58.01,98,69,5.17,broken clouds
280,Ewa Beach,US,21.3156,-158.0072,84.15,51,1,15.01,clear sky
281,Bridlington,GB,54.0831,-0.1919,53.78,73,45,9.04,scattered clouds
282,Killybegs,IE,54.6333,-8.45,53.46,85,100,4.68,overcast clouds
283,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,73.99,41,20,8.95,few clouds
284,Mosjoen,NO,65.836,13.1908,48.2,93,75,2.3,broken clouds
285,Port-Cartier,CA,50.0334,-66.8654,56.75,84,63,5.26,broken clouds
286,Mengcheng,CN,33.2579,116.5655,88.97,69,2,6.87,moderate rain
287,Cockburn Town,TC,21.4612,-71.1419,82.02,79,100,20.42,overcast clouds
288,Okhotsk,RU,59.3833,143.3,62.1,59,2,15.21,clear sky
289,Nouadhibou,MR,20.931,-17.0347,69.21,86,25,15.08,scattered clouds
290,Ternate,ID,0.8,127.4,84.34,71,87,8.86,overcast clouds
291,Chapais,CA,49.7834,-74.8492,50.77,83,100,3.91,overcast clouds
292,Laukaa,RU,58.7372,29.8453,59.29,80,99,2.21,overcast clouds
293,Hulan Ergi,CN,47.2042,123.6333,69.01,69,100,10.87,overcast clouds
294,Kaeo,NZ,-35.1,173.7833,62.33,64,16,9.91,few clouds
295,Henties Bay,NA,-22.116,14.2845,71.85,29,0,14.25,clear sky
296,Spokane,US,47.6166,-117.3677,78.82,60,1,0.0,smoke
297,Geraldton,AU,-28.7667,114.6,62.13,67,64,12.66,broken clouds
298,Guerrero Negro,MX,27.9769,-114.0611,74.25,74,0,12.3,clear sky
299,Nizhniy Baskunchak,RU,48.2198,46.8311,87.01,38,1,7.87,clear sky
300,Ahipara,NZ,-35.1667,173.1667,57.65,69,21,11.63,light rain
301,Thinadhoo,MV,0.5333,72.9333,80.51,75,94,4.09,heavy intensity rain
302,Makakilo City,US,21.3469,-158.0858,82.72,51,1,10.36,clear sky
303,Meulaboh,ID,4.1363,96.1285,83.55,65,92,1.88,overcast clouds
304,Sete Lagoas,BR,-19.4658,-44.2467,54.48,77,3,4.65,clear sky
305,Monze,ZM,-16.2833,27.4833,53.71,60,0,3.87,clear sky
306,Chatakonda,IN,17.55,80.65,85.12,64,92,12.86,overcast clouds
307,Sola,VU,-13.8833,167.55,76.03,60,80,14.12,broken clouds
308,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,87,98,12.06,overcast clouds
309,Konstantinovskaya,RU,44.0456,43.1583,66.49,58,67,3.31,broken clouds
310,Kangaatsiaq,GL,68.3065,-53.4641,43.63,87,0,6.58,clear sky
311,Antsla,EE,57.8256,26.5406,59.72,86,100,3.67,overcast clouds
312,Lazaro Cardenas,MX,17.9583,-102.2,80.49,85,20,4.23,few clouds
